protocolo,cenario,arquivo,bytes_enviados,blocos,retransmissoes,duracao_s,throughput_kBps,timestamp
R-UDP,A,arquivo_teste.bin,1048576,749,1,8.847597,115.7376,2026-06-04T05:00:04
R-UDP,A,arquivo_teste.bin,1048576,749,0,8.834437,115.91,2026-06-04T05:00:14
R-UDP,A,arquivo_teste.bin,1048576,749,0,8.741095,117.1478,2026-06-04T05:00:23
R-UDP,A,arquivo_teste.bin,1048576,749,0,8.299174,123.3858,2026-06-04T05:00:32
R-UDP,A,arquivo_teste.bin,1048576,749,0,8.724905,117.3652,2026-06-04T05:00:41
R-UDP,A,arquivo_teste.bin,1048576,749,0,8.858946,115.5894,2026-06-04T05:00:50
R-UDP,A,arquivo_teste.bin,1048576,749,0,8.701181,117.6852,2026-06-04T05:00:59
R-UDP,A,arquivo_teste.bin,1048576,749,0,8.834134,115.914,2026-06-04T05:01:08
R-UDP,A,arquivo_teste.bin,1048576,749,0,8.826865,116.0095,2026-06-04T05:01:18
R-UDP,A,arquivo_teste.bin,1048576,749,0,8.934571,114.611,2026-06-04T05:01:27
R-UDP,A,arquivo_teste.bin,1048576,749,0,8.904219,115.0017,2026-06-04T05:01:36
R-UDP,A,arquivo_teste.bin,1048576,749,0,8.858102,115.6004,2026-06-04T05:01:46
R-UDP,A,arquivo_teste.bin,1048576,749,0,8.821804,116.076,2026-06-04T05:01:55
R-UDP,A,arquivo_teste.bin,1048576,749,0,8.706402,117.6146,2026-06-04T05:02:04
R-UDP,A,arquivo_teste.bin,1048576,749,0,8.829396,115.9762,2026-06-04T05:02:13
R-UDP,B,arquivo_teste.bin,1048576,749,55,55.422368,18.4763,2026-06-04T05:03:28
R-UDP,B,arquivo_teste.bin,1048576,749,32,48.526875,21.1017,2026-06-04T05:04:17
R-UDP,B,arquivo_teste.bin,1048576,749,40,50.659571,20.2134,2026-06-04T05:05:08
R-UDP,B,arquivo_teste.bin,1048576,749,35,49.108412,20.8518,2026-06-04T05:05:59
R-UDP,B,arquivo_teste.bin,1048576,749,36,49.53578,20.6719,2026-06-04T05:06:50
R-UDP,B,arquivo_teste.bin,1048576,749,40,50.898584,20.1184,2026-06-04T05:07:41
R-UDP,B,arquivo_teste.bin,1048576,749,36,49.688329,20.6085,2026-06-04T05:08:32
R-UDP,B,arquivo_teste.bin,1048576,749,47,53.04049,19.306,2026-06-04T05:09:26
R-UDP,B,arquivo_teste.bin,1048576,749,35,49.449275,20.7081,2026-06-04T05:10:16
R-UDP,B,arquivo_teste.bin,1048576,749,50,54.011399,18.959,2026-06-04T05:11:10
R-UDP,B,arquivo_teste.bin,1048576,749,40,50.890576,20.1216,2026-06-04T05:12:02
R-UDP,B,arquivo_teste.bin,1048576,749,35,49.373625,20.7398,2026-06-04T05:12:52
R-UDP,B,arquivo_teste.bin,1048576,749,59,53.617759,19.0981,2026-06-04T05:13:47
R-UDP,B,arquivo_teste.bin,1048576,749,30,47.953415,21.3541,2026-06-04T05:14:36
R-UDP,B,arquivo_teste.bin,1048576,749,37,50.04908,20.4599,2026-06-04T05:15:26
R-UDP,C,arquivo_teste.bin,1048576,749,88,129.320207,7.9183,2026-06-04T05:18:03
R-UDP,C,arquivo_teste.bin,1048576,749,95,133.409264,7.6756,2026-06-04T05:20:18
R-UDP,C,arquivo_teste.bin,1048576,749,85,127.447003,8.0347,2026-06-04T05:22:26
R-UDP,C,arquivo_teste.bin,1048576,749,110,136.635935,7.4944,2026-06-04T05:24:46
R-UDP,C,arquivo_teste.bin,1048576,749,70,118.611635,8.6332,2026-06-04T05:26:46
R-UDP,C,arquivo_teste.bin,1048576,749,82,125.793733,8.1403,2026-06-04T05:28:54
R-UDP,C,arquivo_teste.bin,1048576,749,79,118.056438,8.6738,2026-06-04T05:30:54
R-UDP,C,arquivo_teste.bin,1048576,749,102,137.844882,7.4286,2026-06-04T05:33:13
R-UDP,C,arquivo_teste.bin,1048576,749,89,130.03716,7.8747,2026-06-04T05:35:24
R-UDP,C,arquivo_teste.bin,1048576,749,83,126.456371,8.0977,2026-06-04T05:37:32
R-UDP,C,arquivo_teste.bin,1048576,749,80,124.596814,8.2185,2026-06-04T05:39:38
R-UDP,C,arquivo_teste.bin,1048576,749,80,124.713095,8.2108,2026-06-04T05:41:43
R-UDP,C,arquivo_teste.bin,1048576,749,86,128.217434,7.9864,2026-06-04T05:43:53
R-UDP,C,arquivo_teste.bin,1048576,749,93,132.450466,7.7312,2026-06-04T05:46:07
R-UDP,C,arquivo_teste.bin,1048576,749,85,127.708357,8.0183,2026-06-04T05:48:16
