protocolo,cenario,arquivo,bytes,duracao_s,throughput_kBps,blocos,timestamp
R-UDP,A,arquivo_teste.bin,1048576,8.859037,115.5882,749,2026-06-04T05:00:04
R-UDP,A,arquivo_teste.bin,1048576,8.845756,115.7617,749,2026-06-04T05:00:14
R-UDP,A,arquivo_teste.bin,1048576,8.752657,116.993,749,2026-06-04T05:00:23
R-UDP,A,arquivo_teste.bin,1048576,8.310584,123.2164,749,2026-06-04T05:00:32
R-UDP,A,arquivo_teste.bin,1048576,8.736525,117.2091,749,2026-06-04T05:00:41
R-UDP,A,arquivo_teste.bin,1048576,8.870673,115.4366,749,2026-06-04T05:00:50
R-UDP,A,arquivo_teste.bin,1048576,8.711938,117.5399,749,2026-06-04T05:00:59
R-UDP,A,arquivo_teste.bin,1048576,8.845919,115.7596,749,2026-06-04T05:01:08
R-UDP,A,arquivo_teste.bin,1048576,8.837784,115.8662,749,2026-06-04T05:01:18
R-UDP,A,arquivo_teste.bin,1048576,8.946244,114.4614,749,2026-06-04T05:01:27
R-UDP,A,arquivo_teste.bin,1048576,8.915232,114.8596,749,2026-06-04T05:01:36
R-UDP,A,arquivo_teste.bin,1048576,8.869856,115.4472,749,2026-06-04T05:01:46
R-UDP,A,arquivo_teste.bin,1048576,8.832994,115.929,749,2026-06-04T05:01:55
R-UDP,A,arquivo_teste.bin,1048576,8.718218,117.4552,749,2026-06-04T05:02:04
R-UDP,A,arquivo_teste.bin,1048576,8.840542,115.83,749,2026-06-04T05:02:13
R-UDP,B,arquivo_teste.bin,1048576,55.473513,18.4593,749,2026-06-04T05:03:28
R-UDP,B,arquivo_teste.bin,1048576,48.578518,21.0793,749,2026-06-04T05:04:17
R-UDP,B,arquivo_teste.bin,1048576,50.711317,20.1927,749,2026-06-04T05:05:08
R-UDP,B,arquivo_teste.bin,1048576,49.16002,20.8299,749,2026-06-04T05:05:59
R-UDP,B,arquivo_teste.bin,1048576,49.587228,20.6505,749,2026-06-04T05:06:50
R-UDP,B,arquivo_teste.bin,1048576,50.950178,20.0981,749,2026-06-04T05:07:41
R-UDP,B,arquivo_teste.bin,1048576,49.739956,20.5871,749,2026-06-04T05:08:32
R-UDP,B,arquivo_teste.bin,1048576,53.093165,19.2869,749,2026-06-04T05:09:26
R-UDP,B,arquivo_teste.bin,1048576,49.501291,20.6863,749,2026-06-04T05:10:16
R-UDP,B,arquivo_teste.bin,1048576,54.063843,18.9406,749,2026-06-04T05:11:10
R-UDP,B,arquivo_teste.bin,1048576,50.942237,20.1012,749,2026-06-04T05:12:02
R-UDP,B,arquivo_teste.bin,1048576,49.424975,20.7183,749,2026-06-04T05:12:52
R-UDP,B,arquivo_teste.bin,1048576,53.668603,19.0801,749,2026-06-04T05:13:46
R-UDP,B,arquivo_teste.bin,1048576,48.006575,21.3304,749,2026-06-04T05:14:36
R-UDP,B,arquivo_teste.bin,1048576,50.100802,20.4388,749,2026-06-04T05:15:26
R-UDP,C,arquivo_teste.bin,1048576,129.422083,7.9121,749,2026-06-04T05:18:03
R-UDP,C,arquivo_teste.bin,1048576,133.511427,7.6698,749,2026-06-04T05:20:18
R-UDP,C,arquivo_teste.bin,1048576,127.548749,8.0283,749,2026-06-04T05:22:26
R-UDP,C,arquivo_teste.bin,1048576,136.739688,7.4887,749,2026-06-04T05:24:44
R-UDP,C,arquivo_teste.bin,1048576,118.712918,8.6259,749,2026-06-04T05:26:46
R-UDP,C,arquivo_teste.bin,1048576,125.895563,8.1337,749,2026-06-04T05:28:53
R-UDP,C,arquivo_teste.bin,1048576,118.158099,8.6664,749,2026-06-04T05:30:53
R-UDP,C,arquivo_teste.bin,1048576,137.946801,7.4232,749,2026-06-04T05:33:13
R-UDP,C,arquivo_teste.bin,1048576,130.138543,7.8685,749,2026-06-04T05:35:24
R-UDP,C,arquivo_teste.bin,1048576,126.558258,8.0911,749,2026-06-04T05:37:32
R-UDP,C,arquivo_teste.bin,1048576,124.699018,8.2118,749,2026-06-04T05:39:37
R-UDP,C,arquivo_teste.bin,1048576,124.814915,8.2041,749,2026-06-04T05:41:43
R-UDP,C,arquivo_teste.bin,1048576,128.319057,7.9801,749,2026-06-04T05:43:53
R-UDP,C,arquivo_teste.bin,1048576,132.552626,7.7252,749,2026-06-04T05:46:07
R-UDP,C,arquivo_teste.bin,1048576,127.81057,8.0119,749,2026-06-04T05:48:16
