protocolo,cenario,arquivo,bytes_enviados,duracao_s,throughput_kBps,timestamp
TCP,A,arquivo_teste.bin,1048576,0.052173,19626.8363,2026-06-04T04:59:46
TCP,A,arquivo_teste.bin,1048576,0.05604,18272.5202,2026-06-04T04:59:46
TCP,A,arquivo_teste.bin,1048576,0.050829,20146.0926,2026-06-04T04:59:47
TCP,A,arquivo_teste.bin,1048576,0.052913,19352.7009,2026-06-04T04:59:47
TCP,A,arquivo_teste.bin,1048576,0.051918,19723.5673,2026-06-04T04:59:48
TCP,A,arquivo_teste.bin,1048576,0.052715,19425.3098,2026-06-04T04:59:48
TCP,A,arquivo_teste.bin,1048576,0.053419,19169.1574,2026-06-04T04:59:49
TCP,A,arquivo_teste.bin,1048576,0.052642,19452.195,2026-06-04T04:59:49
TCP,A,arquivo_teste.bin,1048576,0.051598,19845.862,2026-06-04T04:59:49
TCP,A,arquivo_teste.bin,1048576,0.051246,19982.1238,2026-06-04T04:59:50
TCP,A,arquivo_teste.bin,1048576,0.051744,19789.7257,2026-06-04T04:59:50
TCP,A,arquivo_teste.bin,1048576,0.051699,19806.9197,2026-06-04T04:59:51
TCP,A,arquivo_teste.bin,1048576,0.051429,19911.1062,2026-06-04T04:59:51
TCP,A,arquivo_teste.bin,1048576,0.052032,19680.0175,2026-06-04T04:59:52
TCP,A,arquivo_teste.bin,1048576,0.053317,19205.7464,2026-06-04T04:59:52
TCP,B,arquivo_teste.bin,1048576,0.251453,4072.3271,2026-06-04T05:02:17
TCP,B,arquivo_teste.bin,1048576,0.208186,4918.6776,2026-06-04T05:02:18
TCP,B,arquivo_teste.bin,1048576,0.256829,3987.0959,2026-06-04T05:02:19
TCP,B,arquivo_teste.bin,1048576,0.253518,4039.1633,2026-06-04T05:02:19
TCP,B,arquivo_teste.bin,1048576,0.204388,5010.0768,2026-06-04T05:02:20
TCP,B,arquivo_teste.bin,1048576,0.204327,5011.5721,2026-06-04T05:02:21
TCP,B,arquivo_teste.bin,1048576,0.256098,3998.4664,2026-06-04T05:02:22
TCP,B,arquivo_teste.bin,1048576,0.255618,4005.9777,2026-06-04T05:02:23
TCP,B,arquivo_teste.bin,1048576,0.253999,4031.5052,2026-06-04T05:02:23
TCP,B,arquivo_teste.bin,1048576,0.25578,4003.4365,2026-06-04T05:02:24
TCP,B,arquivo_teste.bin,1048576,0.254408,4025.023,2026-06-04T05:02:25
TCP,B,arquivo_teste.bin,1048576,0.210198,4871.6074,2026-06-04T05:02:27
TCP,B,arquivo_teste.bin,1048576,0.207982,4923.5058,2026-06-04T05:02:27
TCP,B,arquivo_teste.bin,1048576,0.253453,4040.1898,2026-06-04T05:02:28
TCP,B,arquivo_teste.bin,1048576,0.253277,4043.0067,2026-06-04T05:02:29
TCP,C,arquivo_teste.bin,1048576,0.404084,2534.1268,2026-06-04T05:15:31
TCP,C,arquivo_teste.bin,1048576,0.506547,2021.5294,2026-06-04T05:15:32
TCP,C,arquivo_teste.bin,1048576,0.409586,2500.0874,2026-06-04T05:15:33
TCP,C,arquivo_teste.bin,1048576,0.40309,2540.375,2026-06-04T05:15:34
TCP,C,arquivo_teste.bin,1048576,0.402642,2543.205,2026-06-04T05:15:36
TCP,C,arquivo_teste.bin,1048576,0.502086,2039.4921,2026-06-04T05:15:37
TCP,C,arquivo_teste.bin,1048576,0.501715,2040.9979,2026-06-04T05:15:39
TCP,C,arquivo_teste.bin,1048576,0.403929,2535.0973,2026-06-04T05:15:40
TCP,C,arquivo_teste.bin,1048576,0.505459,2025.8809,2026-06-04T05:15:41
TCP,C,arquivo_teste.bin,1048576,0.405313,2526.4397,2026-06-04T05:15:42
TCP,C,arquivo_teste.bin,1048576,0.404667,2530.4763,2026-06-04T05:15:43
TCP,C,arquivo_teste.bin,1048576,0.407565,2512.4808,2026-06-04T05:15:46
TCP,C,arquivo_teste.bin,1048576,0.502675,2037.1015,2026-06-04T05:15:47
TCP,C,arquivo_teste.bin,1048576,0.406882,2516.7025,2026-06-04T05:15:48
TCP,C,arquivo_teste.bin,1048576,0.503448,2033.9735,2026-06-04T05:15:50
