protocolo,cenario,arquivo,bytes,duracao_s,throughput_kBps,timestamp
TCP,A,arquivo_teste.bin,1048576,0.08644,11846.4306,2026-06-04T04:59:46
TCP,A,arquivo_teste.bin,1048576,0.078661,13017.8852,2026-06-04T04:59:46
TCP,A,arquivo_teste.bin,1048576,0.06418,15955.1981,2026-06-04T04:59:47
TCP,A,arquivo_teste.bin,1048576,0.073993,13839.1204,2026-06-04T04:59:47
TCP,A,arquivo_teste.bin,1048576,0.072985,14030.266,2026-06-04T04:59:48
TCP,A,arquivo_teste.bin,1048576,0.073208,13987.6021,2026-06-04T04:59:48
TCP,A,arquivo_teste.bin,1048576,0.074128,13813.9159,2026-06-04T04:59:49
TCP,A,arquivo_teste.bin,1048576,0.066869,15313.5997,2026-06-04T04:59:49
TCP,A,arquivo_teste.bin,1048576,0.064447,15888.9911,2026-06-04T04:59:49
TCP,A,arquivo_teste.bin,1048576,0.064791,15804.6428,2026-06-04T04:59:50
TCP,A,arquivo_teste.bin,1048576,0.064988,15756.7951,2026-06-04T04:59:50
TCP,A,arquivo_teste.bin,1048576,0.072471,14129.8616,2026-06-04T04:59:51
TCP,A,arquivo_teste.bin,1048576,0.072295,14164.1606,2026-06-04T04:59:51
TCP,A,arquivo_teste.bin,1048576,0.066247,15457.3518,2026-06-04T04:59:52
TCP,A,arquivo_teste.bin,1048576,0.076736,13344.4923,2026-06-04T04:59:52
TCP,B,arquivo_teste.bin,1048576,0.320683,3193.1825,2026-06-04T05:02:17
TCP,B,arquivo_teste.bin,1048576,0.311638,3285.8679,2026-06-04T05:02:18
TCP,B,arquivo_teste.bin,1048576,0.312337,3278.5056,2026-06-04T05:02:19
TCP,B,arquivo_teste.bin,1048576,0.310229,3300.7913,2026-06-04T05:02:19
TCP,B,arquivo_teste.bin,1048576,0.307928,3325.449,2026-06-04T05:02:20
TCP,B,arquivo_teste.bin,1048576,0.308288,3321.567,2026-06-04T05:02:21
TCP,B,arquivo_teste.bin,1048576,0.310559,3297.2836,2026-06-04T05:02:22
TCP,B,arquivo_teste.bin,1048576,0.359062,2851.8787,2026-06-04T05:02:23
TCP,B,arquivo_teste.bin,1048576,0.308314,3321.2894,2026-06-04T05:02:23
TCP,B,arquivo_teste.bin,1048576,0.310731,3295.4499,2026-06-04T05:02:24
TCP,B,arquivo_teste.bin,1048576,0.312652,3275.2095,2026-06-04T05:02:25
TCP,B,arquivo_teste.bin,1048576,0.309782,3305.547,2026-06-04T05:02:27
TCP,B,arquivo_teste.bin,1048576,0.314195,3259.1202,2026-06-04T05:02:27
TCP,B,arquivo_teste.bin,1048576,0.356838,2869.6456,2026-06-04T05:02:28
TCP,B,arquivo_teste.bin,1048576,0.310411,3298.8532,2026-06-04T05:02:29
TCP,C,arquivo_teste.bin,1048576,0.634637,1613.5197,2026-06-04T05:15:31
TCP,C,arquivo_teste.bin,1048576,0.60787,1684.5693,2026-06-04T05:15:32
TCP,C,arquivo_teste.bin,1048576,0.612485,1671.8776,2026-06-04T05:15:33
TCP,C,arquivo_teste.bin,1048576,0.615291,1664.2527,2026-06-04T05:15:34
TCP,C,arquivo_teste.bin,1048576,0.607291,1686.1759,2026-06-04T05:15:36
TCP,C,arquivo_teste.bin,1048576,0.60661,1688.0699,2026-06-04T05:15:37
TCP,C,arquivo_teste.bin,1048576,0.610093,1678.4319,2026-06-04T05:15:38
TCP,C,arquivo_teste.bin,1048576,0.615711,1663.1182,2026-06-04T05:15:40
TCP,C,arquivo_teste.bin,1048576,0.615331,1664.1459,2026-06-04T05:15:41
TCP,C,arquivo_teste.bin,1048576,0.617111,1659.3449,2026-06-04T05:15:42
TCP,C,arquivo_teste.bin,1048576,0.613755,1668.4192,2026-06-04T05:15:43
TCP,C,arquivo_teste.bin,1048576,0.614744,1665.734,2026-06-04T05:15:45
TCP,C,arquivo_teste.bin,1048576,0.613609,1668.8155,2026-06-04T05:15:47
TCP,C,arquivo_teste.bin,1048576,0.618069,1656.7741,2026-06-04T05:15:48
TCP,C,arquivo_teste.bin,1048576,0.618995,1654.2938,2026-06-04T05:15:50
